Date,Time,MSec,Sample,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,Temp,Humid,LUX,VoltsIn,Dark,OptoFreq,OptoPW,OptoCol1,OptoCol2,Error
12/20/2019,09:52:56,795.15,200,53,68,64,55,51,65,52,58,58,52,55,69,27.00,46.00,537,5.00,0,40,8,0,0,0
12/20/2019,09:52:57,1.32,201,54,62,57,58,50,70,52,63,55,60,62,62,24.00,62.00,572,5.00,0,40,8,0,0,0
12/20/2019,09:52:57,196.64,202,66,55,63,56,51,54,68,62,62,65,60,70,25.00,54.00,577,5.00,0,40,8,0,0,0
12/20/2019,09:52:57,396.29,203,58,60,70,51,51,56,63,56,51,66,56,50,18.00,45.00,512,5.00,0,40,8,0,0,0
12/20/2019,09:52:57,595.46,204,60,63,50,56,54,63,52,67,62,52,56,69,21.00,50.00,560,5.00,0,40,8,0,0,0
12/20/2019,09:52:57,796.99,205,69,62,61,64,58,63,68,55,57,56,62,69,20.00,45.00,540,5.00,0,40,8,0,0,0
12/20/2019,09:52:58,0.12,206,66,52,68,69,65,50,58,67,67,51,50,53,19.00,46.00,569,5.00,0,40,8,0,0,0
12/20/2019,09:52:58,195.22,207,58,65,53,67,58,63,57,61,63,64,58,51,24.00,52.00,535,5.00,0,40,8,0,0,0
12/20/2019,09:52:58,395.37,208,70,58,66,56,54,59,70,60,58,69,69,65,28.00,47.00,509,5.00,0,40,8,0,0,0
12/20/2019,09:52:58,596.51,209,70,64,67,66,57,58,52,66,59,59,60,62,23.00,54.00,573,5.00,0,40,8,0,0,0
12/20/2019,09:52:58,796.64,210,69,56,64,56,60,52,52,54,68,65,51,64,24.00,53.00,554,5.00,0,40,8,0,0,0
12/20/2019,09:52:59,0.50,211,66,56,69,53,64,58,68,58,68,55,70,58,28.00,47.00,512,5.00,0,40,8,0,0,0
12/20/2019,09:52:59,197.06,212,67,57,68,61,50,58,50,64,67,57,56,51,26.00,64.00,569,5.00,0,40,8,0,0,0
12/20/2019,09:52:59,396.50,213,56,62,63,59,50,69,59,69,54,50,53,63,28.00,55.00,548,5.00,0,40,8,0,0,0
12/20/2019,09:52:59,596.52,214,64,68,55,64,66,51,60,60,54,62,70,70,22.00,62.00,542,5.00,0,40,8,0,0,0
12/20/2019,09:52:59,795.29,215,57,65,69,54,53,56,64,70,54,58,51,58,28.00,53.00,576,5.00,0,40,8,0,0,0
12/20/2019,09:53:00,0.66,216,67,67,53,64,53,59,64,59,70,65,50,68,25.00,59.00,567,5.00,0,40,8,0,0,0
12/20/2019,09:53:00,195.11,217,59,56,53,59,52,54,57,59,66,55,64,62,24.00,57.00,578,5.00,0,40,8,0,0,0
12/20/2019,09:53:00,395.05,218,66,59,67,53,57,68,55,60,66,65,50,58,19.00,51.00,532,5.00,0,40,8,0,0,0
12/20/2019,09:53:00,596.40,219,62,66,55,57,64,55,58,70,67,61,56,56,18.00,60.00,546,5.00,0,40,8,0,0,0
12/20/2019,09:53:00,796.99,220,59,59,53,59,61,70,50,68,53,60,50,58,22.00,52.00,501,5.00,0,40,8,0,0,0
12/20/2019,09:53:01,1.51,221,59,56,70,69,66,62,56,59,54,54,67,63,26.00,46.00,549,5.00,0,40,8,0,0,0
12/20/2019,09:53:01,195.59,222,56,58,69,61,57,52,54,51,65,53,53,53,20.00,57.00,566,5.00,0,40,8,0,0,0
12/20/2019,09:53:01,395.13,223,55,68,61,66,52,70,58,63,50,70,56,65,21.00,54.00,514,5.00,0,40,8,0,0,0
12/20/2019,09:53:01,596.80,224,51,62,59,63,61,66,52,55,55,52,53,58,25.00,47.00,533,5.00,0,40,8,0,0,0
12/20/2019,09:53:01,796.16,225,68,53,62,52,66,59,58,62,52,59,69,50,19.00,61.00,513,5.00,0,40,8,0,0,0
12/20/2019,09:53:02,1.97,226,51,62,61,70,60,64,52,56,60,57,66,62,21.00,61.00,541,5.00,0,40,8,0,0,0
12/20/2019,09:53:02,195.02,227,52,67,52,67,65,67,50,56,68,69,59,63,20.00,53.00,506,5.00,0,40,8,0,0,0
12/20/2019,09:53:02,396.28,228,65,60,60,50,50,67,70,56,50,54,57,61,19.00,49.00,541,5.00,0,40,8,0,0,0
12/20/2019,09:53:02,595.73,229,59,53,57,59,60,68,53,66,69,60,56,51,28.00,65.00,534,5.00,0,40,8,0,0,0
12/20/2019,09:53:02,796.44,230,56,51,69,70,61,70,53,59,59,58,58,62,28.00,63.00,513,5.00,0,40,8,0,0,0
12/20/2019,09:53:03,0.15,231,67,52,62,60,64,63,70,60,64,64,57,58,24.00,58.00,568,5.00,0,40,8,0,0,0
12/20/2019,09:53:03,195.28,232,61,58,63,65,56,50,63,68,54,51,66,65,22.00,53.00,518,5.00,0,40,8,0,0,0
12/20/2019,09:53:03,396.85,233,60,67,69,61,66,56,57,62,52,63,65,50,20.00,53.00,567,5.00,0,40,8,0,0,0
12/20/2019,09:53:03,595.82,234,63,63,58,56,65,61,52,58,58,59,62,70,19.00,61.00,561,5.00,0,40,8,0,0,0
12/20/2019,09:53:03,796.24,235,62,67,69,56,55,67,63,69,51,70,57,59,20.00,56.00,514,5.00,0,40,8,0,0,0
12/20/2019,09:53:04,1.49,236,57,65,52,54,54,60,50,63,57,60,63,66,24.00,48.00,520,5.00,0,40,8,0,0,0
12/20/2019,09:53:04,196.34,237,50,64,70,63,65,55,57,50,62,52,60,57,26.00,54.00,531,5.00,0,40,8,0,0,0
12/20/2019,09:53:04,395.39,238,64,56,69,68,58,59,59,58,68,50,53,55,24.00,53.00,517,5.00,0,40,8,0,0,0
12/20/2019,09:53:04,596.70,239,55,65,61,65,59,61,56,53,67,50,57,61,22.00,47.00,571,5.00,0,40,8,0,0,0
12/20/2019,09:53:04,796.39,240,66,61,65,65,66,57,54,68,65,66,55,65,21.00,50.00,571,5.00,0,40,8,0,0,0
12/20/2019,09:53:05,0.41,241,52,70,54,66,51,55,51,58,66,54,68,66,26.00,45.00,547,5.00,0,40,8,0,0,0
12/20/2019,09:53:05,195.59,242,66,62,66,51,69,61,59,57,58,59,54,67,25.00,51.00,505,5.00,0,40,8,0,0,0
12/20/2019,09:53:05,395.35,243,57,64,58,63,61,62,63,67,61,63,62,63,22.00,59.00,520,5.00,0,40,8,0,0,0
12/20/2019,09:53:05,595.18,244,62,61,50,57,57,60,64,66,51,50,50,65,23.00,62.00,539,5.00,0,40,8,0,0,0
12/20/2019,09:53:05,795.02,245,64,66,55,52,57,54,52,67,66,56,61,70,23.00,48.00,524,5.00,0,40,8,0,0,0
12/20/2019,09:53:06,0.86,246,59,51,70,54,58,56,58,69,63,66,66,68,26.00,52.00,576,5.00,0,40,8,0,0,0
12/20/2019,09:53:06,196.69,247,65,52,66,59,50,58,52,58,52,52,58,54,25.00,61.00,518,5.00,0,40,8,0,0,0
12/20/2019,09:53:06,396.54,248,56,52,59,50,62,56,60,62,70,54,56,61,18.00,55.00,580,5.00,0,40,8,0,0,0
12/20/2019,09:53:06,596.40,249,66,61,61,67,70,56,58,54,56,62,63,65,19.00,52.00,574,5.00,0,40,8,0,0,0
12/20/2019,09:53:06,796.23,250,63,70,65,52,60,70,67,54,65,70,54,52,19.00,61.00,528,5.00,0,40,8,0,0,0
12/20/2019,09:53:07,1.09,251,56,65,66,60,58,54,67,69,65,61,64,58,21.00,59.00,504,5.00,0,40,8,0,0,0
12/20/2019,09:53:07,195.21,252,66,62,70,52,60,53,69,68,55,59,51,55,23.00,59.00,502,5.00,0,40,8,0,0,0
12/20/2019,09:53:07,395.00,253,50,70,66,52,53,52,58,60,52,59,52,50,28.00,46.00,570,5.00,0,40,8,0,0,0
12/20/2019,09:53:07,596.87,254,65,54,50,70,58,59,70,55,70,56,66,53,24.00,49.00,573,5.00,0,40,8,0,0,0
12/20/2019,09:53:07,796.17,255,58,68,65,68,56,63,58,61,62,54,70,56,21.00,47.00,542,5.00,0,40,8,0,0,0
12/20/2019,09:53:08,0.49,256,54,58,69,69,52,61,63,56,60,60,55,55,27.00,63.00,576,5.00,0,40,8,0,0,0
12/20/2019,09:53:08,195.12,257,58,55,58,64,50,53,54,70,55,63,62,64,19.00,55.00,521,5.00,0,40,8,0,0,0
12/20/2019,09:53:08,395.73,258,57,61,50,54,64,54,53,69,51,61,50,67,22.00,64.00,542,5.00,0,40,8,0,0,0
12/20/2019,09:53:08,596.58,259,55,63,50,69,68,50,58,56,68,63,54,70,21.00,49.00,566,5.00,0,40,8,0,0,0
12/20/2019,09:53:08,797.02,260,55,58,57,68,63,50,52,57,57,55,66,52,27.00,65.00,560,5.00,0,40,8,0,0,0
12/20/2019,09:53:09,1.67,261,59,70,62,65,67,68,59,65,60,52,60,53,21.00,45.00,514,5.00,0,40,8,0,0,0
12/20/2019,09:53:09,196.15,262,54,66,51,70,68,62,50,54,61,61,53,68,20.00,64.00,566,5.00,0,40,8,0,0,0
12/20/2019,09:53:09,396.44,263,50,65,51,66,69,50,58,68,52,61,56,58,23.00,63.00,534,5.00,0,40,8,0,0,0
12/20/2019,09:53:09,596.69,264,60,61,68,51,67,56,60,67,55,51,68,65,19.00,59.00,524,5.00,0,40,8,0,0,0
12/20/2019,09:53:09,795.90,265,68,53,69,70,58,70,70,67,63,62,69,52,26.00,48.00,568,5.00,0,40,8,0,0,0
12/20/2019,09:53:10,0.30,266,63,54,51,55,69,68,50,66,65,66,61,57,24.00,49.00,561,5.00,0,40,8,0,0,0
12/20/2019,09:53:10,195.73,267,70,52,60,69,50,68,55,59,69,63,50,57,22.00,45.00,541,5.00,0,40,8,0,0,0
12/20/2019,09:53:10,395.19,268,51,58,53,53,51,61,68,68,64,69,51,50,26.00,53.00,569,5.00,0,40,8,0,0,0
12/20/2019,09:53:10,595.79,269,58,64,63,64,67,61,62,69,66,58,59,53,19.00,52.00,573,5.00,0,40,8,0,0,0
12/20/2019,09:53:10,796.63,270,58,63,68,59,68,67,67,57,59,55,56,58,18.00,50.00,529,5.00,0,40,8,0,0,0
12/20/2019,09:53:11,0.81,271,50,63,62,63,69,66,61,58,69,63,53,60,27.00,60.00,534,5.00,0,40,8,0,0,0
12/20/2019,09:53:11,196.64,272,64,65,51,53,65,56,63,66,58,56,54,62,21.00,48.00,527,5.00,0,40,8,0,0,0
12/20/2019,09:53:11,396.76,273,55,69,70,50,65,69,56,67,53,51,51,50,18.00,58.00,557,5.00,0,40,8,0,0,0
12/20/2019,09:53:11,595.15,274,53,62,52,68,66,66,64,69,56,53,62,69,21.00,52.00,521,5.00,0,40,8,0,0,0
12/20/2019,09:53:11,795.94,275,58,55,59,59,59,55,61,56,62,54,52,56,24.00,56.00,519,5.00,0,40,8,0,0,0
12/20/2019,09:53:12,0.56,276,55,66,61,61,50,57,56,56,66,54,56,66,27.00,45.00,532,5.00,0,40,8,0,0,0
12/20/2019,09:53:12,195.38,277,59,53,63,65,69,55,56,53,50,52,69,67,20.00,48.00,567,5.00,0,40,8,0,0,0
12/20/2019,09:53:12,397.00,278,61,65,70,67,60,61,63,62,56,64,50,50,19.00,61.00,539,5.00,0,40,8,0,0,0
12/20/2019,09:53:12,596.65,279,50,58,50,61,67,67,53,57,67,50,50,62,22.00,46.00,540,5.00,0,40,8,0,0,0
12/20/2019,09:53:12,795.21,280,56,61,52,69,65,51,58,64,66,62,50,67,19.00,64.00,512,5.00,0,40,8,0,0,0
12/20/2019,09:53:13,1.40,281,66,65,64,60,55,70,59,51,54,52,53,61,18.00,51.00,506,5.00,0,40,8,0,0,0
12/20/2019,09:53:13,195.07,282,58,60,55,52,50,65,60,51,70,70,54,63,26.00,51.00,520,5.00,0,40,8,0,0,0
12/20/2019,09:53:13,395.78,283,66,53,52,54,50,55,59,66,66,55,61,55,21.00,48.00,505,5.00,0,40,8,0,0,0
12/20/2019,09:53:13,595.61,284,61,64,52,70,64,59,62,68,52,56,67,65,21.00,64.00,536,5.00,0,40,8,0,0,0
12/20/2019,09:53:13,795.18,285,58,65,51,52,52,59,62,52,60,54,59,55,21.00,56.00,542,5.00,0,40,8,0,0,0
12/20/2019,09:53:14,1.67,286,60,56,53,55,57,66,56,56,50,70,60,66,26.00,55.00,574,5.00,0,40,8,0,0,0
12/20/2019,09:53:14,195.10,287,51,52,65,68,64,68,53,52,69,51,57,51,18.00,58.00,573,5.00,0,40,8,0,0,0
12/20/2019,09:53:14,395.61,288,56,58,57,63,69,52,68,58,68,68,58,70,25.00,49.00,521,5.00,0,40,8,0,0,0
12/20/2019,09:53:14,595.22,289,65,68,62,61,52,70,57,55,59,63,64,56,27.00,49.00,568,5.00,0,40,8,0,0,0
12/20/2019,09:53:14,795.85,290,51,52,65,62,51,70,66,57,54,50,58,60,22.00,57.00,551,5.00,0,40,8,0,0,0
12/20/2019,09:53:15,1.61,291,64,50,59,55,51,67,53,70,63,61,70,55,19.00,63.00,508,5.00,0,40,8,0,0,0
12/20/2019,09:53:15,196.46,292,58,60,69,50,65,56,66,68,63,64,57,70,26.00,46.00,511,5.00,0,40,8,0,0,0
12/20/2019,09:53:15,395.81,293,63,70,51,67,69,63,51,61,67,55,53,63,26.00,64.00,559,5.00,0,40,8,0,0,0
12/20/2019,09:53:15,595.55,294,53,66,66,54,65,59,69,64,52,65,56,57,21.00,63.00,506,5.00,0,40,8,0,0,0
12/20/2019,09:53:15,796.31,295,65,54,60,52,60,62,64,67,54,68,69,50,19.00,65.00,541,5.00,0,40,8,0,0,0
12/20/2019,09:53:16,0.35,296,64,63,63,58,68,62,54,55,55,64,56,56,25.00,45.00,513,5.00,0,40,8,0,0,0
12/20/2019,09:53:16,195.70,297,59,68,56,55,57,52,57,61,65,63,52,64,24.00,58.00,510,5.00,0,40,8,0,0,0
12/20/2019,09:53:16,396.85,298,59,58,53,53,64,61,63,57,69,56,60,55,20.00,53.00,511,5.00,0,40,8,0,0,0
12/20/2019,09:53:16,595.86,299,69,65,59,65,55,59,68,57,66,61,57,58,26.00,63.00,509,5.00,0,40,8,0,0,0
